,Unnamed: 0,datetime,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3,solar_y
31,31,02/01/2017 07:00,0.352,0.078,244.32,1.4,0,1,0.0,0.0
32,32,02/01/2017 08:00,0.41,0.192,242.69,1.8,0,2,0.0,0.0
33,33,02/01/2017 09:00,0.35,0.106,242.31,1.4,0,0,0.0,0.0
34,34,02/01/2017 10:00,6.242,0.166,236.38,26.4,0,73,17.0,0.0
35,35,02/01/2017 11:00,1.932,0.202,241.05,8,0,0,18.0,0.0
36,36,02/01/2017 12:00,1.598,0.114,239.95,6.6,0,4,18.0,0.0
37,37,02/01/2017 13:00,1.264,0.074,239.67,5.2,0,0,17.0,0.0
38,38,02/01/2017 14:00,1.306,0.07,243.65,5.2,0,0,19.0,0.0
39,39,02/01/2017 15:00,4.208,0.588,243.31,17.4,40,1,19.0,0.0
40,40,02/01/2017 16:00,1.962,0.112,244.36,8,0,0,18.0,0.0
41,41,02/01/2017 17:00,3.158,0.284,242.31,13.6,0,0,18.0,0.0
42,42,02/01/2017 18:00,3.28,0.112,238.35,13.6,1,0,18.0,0.0
43,43,02/01/2017 19:00,3.034,0.488,237.27,12.8,0,2,18.0,0.0
44,44,02/01/2017 20:00,1.43,0.17,241.04,5.8,0,0,0.0,0.0
45,45,02/01/2017 21:00,1.422,0.174,240.53,5.8,0,0,0.0,0.0
46,46,02/01/2017 22:00,1.456,0.274,238.5,6.2,0,0,0.0,0.0
47,47,02/01/2017 23:00,1.596,0.236,242.21,6.6,0,0,18.0,0.0
48,48,03/01/2017 00:00,0.302,0.106,245.46,1.2,0,1,0.0,0.0
49,49,03/01/2017 01:00,0.324,0.102,247.19,1.4,0,0,0.0,0.0
50,50,03/01/2017 02:00,0.308,0.092,243.84,1.2,0,0,0.0,0.0
51,51,03/01/2017 03:00,0.226,0,248.15,1,0,0,0.0,0.0
52,52,03/01/2017 04:00,0.396,0.226,246.21,1.8,0,2,0.0,0.0
53,53,03/01/2017 05:00,0.214,0,246.52,0.8,0,0,0.0,0.0
54,54,03/01/2017 06:00,1.54,0.194,245.78,6.2,0,0,19.0,0.0
55,55,03/01/2017 07:00,0.308,0.084,242.4,1.2,0,0,0.0,0.0
56,56,03/01/2017 08:00,4.56,0.054,238.76,19.4,0,0,0.0,0.0
57,57,03/01/2017 09:00,1.886,0.22,241.59,7.8,0,1,18.0,0.0
58,58,03/01/2017 10:00,1.532,0.054,241.23,6.4,2,0,18.0,0.0
59,59,03/01/2017 11:00,1.624,0.13,239.91,6.8,2,0,17.0,0.0
60,60,03/01/2017 12:00,1.83,0.612,240.64,8,1,0,18.0,0.0
61,61,03/01/2017 13:00,1.362,0,242.63,5.6,0,0,18.0,0.0
62,62,03/01/2017 14:00,1.596,0.084,244.08,6.6,1,0,18.0,0.0
63,63,03/01/2017 15:00,0.616,0.22,245.98,2.6,2,0,0.0,0.0
64,64,03/01/2017 16:00,0.264,0,245.65,1.2,0,0,0.0,0.0
65,65,03/01/2017 17:00,0.606,0.054,242.01,2.6,0,0,0.0,0.0
66,66,03/01/2017 18:00,0.992,0.306,242.61,4.2,0,1,0.0,0.0
67,67,03/01/2017 19:00,4.556,0.226,238.93,19,39,0,0.0,0.0
68,68,03/01/2017 20:00,2.484,0,240.27,10.6,0,0,0.0,0.0
69,69,03/01/2017 21:00,1.814,0.168,243.36,7.4,1,0,18.0,0.0
70,70,03/01/2017 22:00,3.842,0.076,240.62,15.8,39,0,18.0,0.0
71,71,03/01/2017 23:00,2.33,0.048,239.4,9.8,0,1,18.0,0.0
72,72,04/01/2017 00:00,0.414,0,245.28,1.8,0,0,0.0,0.0
73,73,04/01/2017 01:00,0.506,0.104,248.88,2,0,0,0.0,0.0
74,74,04/01/2017 02:00,0.512,0,248.86,2.2,0,0,0.0,0.0
75,75,04/01/2017 03:00,0.4,0,249.03,1.6,0,0,0.0,0.0
76,76,04/01/2017 04:00,0.476,0.09,250.01,2,0,1,0.0,0.0
77,77,04/01/2017 05:00,0.516,0.104,249.05,2.2,0,0,0.0,0.0
78,78,04/01/2017 06:00,0.578,0.218,249.61,2.4,0,0,0.0,0.0
79,79,04/01/2017 07:00,0.402,0.048,246.3,1.6,0,0,0.0,0.0
80,80,04/01/2017 08:00,0.402,0.048,246.79,1.6,0,0,0.0,0.0
81,81,04/01/2017 09:00,0.588,0.116,245.06,2.6,0,1,0.0,0.0
82,82,04/01/2017 10:00,0.774,0.114,245.22,3.2,0,0,0.0,0.0
83,83,04/01/2017 11:00,0.488,0.046,242.84,2,0,1,0.0,0.0
84,84,04/01/2017 12:00,0.288,0.054,245.54,1.4,0,0,0.0,0.0
85,85,04/01/2017 13:00,0.582,0,246.46,2.4,0,0,0.0,0.0
86,86,04/01/2017 14:00,2.894,0.236,244.36,11.8,1,40,0.0,0.0
87,87,04/01/2017 15:00,2.068,0,245.69,8.4,2,0,19.0,0.0
88,88,04/01/2017 16:00,1.336,0.382,245.07,5.6,0,3,0.0,0.0
89,89,04/01/2017 17:00,2.332,0.42,242.53,9.8,0,3,0.0,0.0
90,90,04/01/2017 18:00,1.812,0,241.53,7.4,0,0,0.0,0.0
91,91,04/01/2017 19:00,2.672,0.08,240.95,11,0,0,0.0,0.0
92,92,04/01/2017 20:00,4.616,0.12,236.49,19.4,0,36,17.0,0.0
93,93,04/01/2017 21:00,2.292,0.448,241.58,9.6,0,1,0.0,0.0
94,94,04/01/2017 22:00,0.856,0.09,241.86,3.6,0,0,0.0,0.0
95,95,04/01/2017 23:00,0.418,0,246.68,1.8,0,0,0.0,0.0
96,96,05/01/2017 00:00,0.312,0.054,248.26,1.4,0,0,0.0,0.0
97,97,05/01/2017 01:00,0.3,0.05,251.7,1.2,0,0,0.0,0.0
98,98,05/01/2017 02:00,0.4,0.084,247,1.6,0,0,0.0,0.0
99,99,05/01/2017 03:00,0.396,0.082,246.88,1.6,0,0,0.0,0.0
100,100,05/01/2017 04:00,0.37,0.05,247.99,1.6,0,0,0.0,0.0
101,101,05/01/2017 05:00,0.288,0.06,248.42,1.2,0,0,0.0,0.0
102,102,05/01/2017 06:00,0.378,0.068,247.01,1.6,0,1,0.0,0.0
103,103,05/01/2017 07:00,2.18,0,242.93,9,0,0,18.0,0.0
104,104,05/01/2017 08:00,2.556,0.086,238.89,10.6,0,0,18.0,0.0
105,105,05/01/2017 09:00,1.564,0.174,244.4,6.4,0,0,18.0,0.0
106,106,05/01/2017 10:00,1.37,0.072,243.15,5.6,0,0,18.0,0.0
107,107,05/01/2017 11:00,1.352,0.076,240.86,5.6,0,0,18.0,0.0
108,108,05/01/2017 12:00,1.462,0,244.55,6,0,0,19.0,0.0
109,109,05/01/2017 13:00,0.276,0.062,242.27,1.2,0,0,0.0,236.5
110,110,05/01/2017 14:00,0.396,0.082,245.52,1.6,0,0,0.0,0.0
111,111,05/01/2017 15:00,0.462,0.202,247.97,2,0,0,0.0,0.0
112,112,05/01/2017 16:00,0.286,0.052,248.68,1.2,0,0,0.0,0.0
113,113,05/01/2017 17:00,0.354,0.072,246.69,1.4,0,1,0.0,0.0
114,114,05/01/2017 18:00,0.658,0,244.96,2.6,0,0,0.0,0.0
115,115,05/01/2017 19:00,1.68,0.08,241.66,7,0,0,0.0,0.0
116,116,05/01/2017 20:00,3.208,0.08,240.68,13.2,0,0,18.0,0.0
117,117,05/01/2017 21:00,2.41,0.19,243.58,10,1,0,0.0,0.0
118,118,05/01/2017 22:00,1.64,0.126,241.58,8.2,19,2,0.0,0.0
119,119,05/01/2017 23:00,0.338,0,246.16,1.4,0,0,0.0,0.0
120,120,06/01/2017 00:00,0.294,0,246.49,1.4,0,0,0.0,0.0
121,121,06/01/2017 01:00,0.27,0,244.26,1.2,0,0,0.0,0.0
122,122,06/01/2017 02:00,0.382,0.102,246.57,1.6,0,0,0.0,0.0
123,123,06/01/2017 03:00,0.458,0.24,248.32,2,0,2,0.0,0.0
124,124,06/01/2017 04:00,0.35,0.068,246.91,1.4,0,0,0.0,0.0
125,125,06/01/2017 05:00,0.274,0,246.97,1.2,0,0,0.0,0.0
126,126,06/01/2017 06:00,0.28,0,247.82,1.2,0,0,0.0,0.0
127,127,06/01/2017 07:00,2.106,0,240.01,8.8,0,0,18.0,0.0
128,128,06/01/2017 08:00,2.34,0.1,238.52,9.8,0,0,17.0,0.0
129,129,06/01/2017 09:00,1.466,0.072,243.52,6,0,0,19.0,0.0
130,130,06/01/2017 10:00,1.648,0.06,242.48,6.8,0,0,18.0,0.0
131,131,06/01/2017 11:00,1.508,0,240.86,6.2,0,0,18.0,0.0
132,132,06/01/2017 12:00,1.366,0.066,244.4,5.6,0,0,18.0,0.0
133,133,06/01/2017 13:00,1.376,0.066,244.69,5.6,0,0,19.0,0.0
134,134,06/01/2017 14:00,1.456,0.064,245.77,5.8,0,2,19.0,0.0
135,135,06/01/2017 15:00,1.57,0.188,246.69,6.4,0,0,19.0,0.0
136,136,06/01/2017 16:00,0.374,0.098,248.37,1.6,0,0,0.0,0.0
137,137,06/01/2017 17:00,0.318,0.046,249.44,1.4,0,0,0.0,0.0
138,138,06/01/2017 18:00,1.43,0,241.81,5.8,0,0,0.0,0.0
139,139,06/01/2017 19:00,1.446,0.058,242.51,6,0,1,0.0,0.0
140,140,06/01/2017 20:00,1.676,0.066,245.03,6.8,0,0,18.0,0.0
141,141,06/01/2017 21:00,1.368,0.166,244.25,5.6,0,0,0.0,0.0
142,142,06/01/2017 22:00,0.546,0.068,241.71,2.2,0,0,0.0,0.0
143,143,06/01/2017 23:00,0.294,0.058,248.78,1.2,0,0,0.0,0.0
144,144,07/01/2017 00:00,0.376,0.056,249.95,1.6,0,0,0.0,0.0
145,145,07/01/2017 01:00,0.294,0.058,247.98,1.2,0,0,0.0,0.0
146,146,07/01/2017 02:00,0.406,0.084,247.65,1.6,0,0,0.0,0.0
147,147,07/01/2017 03:00,0.376,0.056,249.77,1.6,0,0,0.0,0.0
148,148,07/01/2017 04:00,0.296,0.058,248.71,1.2,0,0,0.0,0.0
149,149,07/01/2017 05:00,0.298,0.06,247.5,1.2,0,0,0.0,0.0
150,150,07/01/2017 06:00,0.294,0.062,245.87,1.2,0,0,0.0,0.0
151,151,07/01/2017 07:00,2.076,0.288,242.91,8.6,0,1,18.0,0.0
152,152,07/01/2017 08:00,1.738,0.062,242.35,7.2,0,0,18.0,0.0
153,153,07/01/2017 09:00,1.45,0,245.12,5.8,0,0,18.0,0.0
154,154,07/01/2017 10:00,1.386,0.062,246.26,5.6,0,0,19.0,0.0
155,155,07/01/2017 11:00,1.376,0.058,245.89,5.6,0,0,18.0,0.0
156,156,07/01/2017 12:00,1.74,0.136,245.1,7,0,2,18.0,830.1667
157,157,07/01/2017 13:00,1.764,0.21,246.06,7.2,0,3,18.0,1095.1666
158,158,07/01/2017 14:00,4.014,0.088,244.57,16.4,1,38,18.0,0.0
159,159,07/01/2017 15:00,1.444,0,251.45,6,2,16,0.0,0.0
160,160,07/01/2017 16:00,0.358,0.116,253.17,1.6,0,2,0.0,0.0
161,161,07/01/2017 17:00,0.668,0.08,249.41,2.6,0,0,0.0,0.0
162,162,07/01/2017 18:00,1.718,0.152,244.91,7,0,0,0.0,0.0
163,163,07/01/2017 19:00,1.998,0.054,244.24,8.2,0,0,0.0,0.0
164,164,07/01/2017 20:00,3.048,0.212,242.68,12.6,1,0,0.0,0.0
165,165,07/01/2017 21:00,2.22,0.068,243.74,9,0,1,18.0,0.0
166,166,07/01/2017 22:00,0.932,0.116,243.38,3.8,0,0,0.0,0.0
167,167,07/01/2017 23:00,0.726,0.09,247.38,3,0,0,0.0,0.0
168,168,08/01/2017 00:00,0.282,0.054,248.78,1.2,0,0,0.0,0.0
169,169,08/01/2017 01:00,0.268,0.058,248.72,1.2,0,0,0.0,0.0
170,170,08/01/2017 02:00,0.352,0.074,248.11,1.4,0,2,0.0,0.0
171,171,08/01/2017 03:00,0.384,0.096,250.43,1.6,0,0,0.0,0.0
172,172,08/01/2017 04:00,0.364,0.086,248.02,1.6,0,0,0.0,0.0
173,173,08/01/2017 05:00,1.488,0,249.09,6,0,0,19.0,0.0
174,174,08/01/2017 06:00,0.272,0.054,249.67,1.2,0,0,0.0,0.0
175,175,08/01/2017 07:00,0.548,0,243.61,2.4,0,0,0.0,0.0
176,176,08/01/2017 08:00,1.918,0.234,239.75,8,1,1,18.0,0.0
177,177,08/01/2017 09:00,1.628,0.124,244.75,6.6,1,0,19.0,0.0
178,178,08/01/2017 10:00,1.356,0.056,243.57,5.6,0,0,19.0,0.0
179,179,08/01/2017 11:00,1.402,0,240.49,5.8,0,0,18.0,141.8333
180,180,08/01/2017 12:00,1.356,0.054,243.33,5.6,0,0,18.0,0.0
181,181,08/01/2017 13:00,1.48,0.086,244.58,6,0,0,19.0,0.0
182,182,08/01/2017 14:00,1.456,0.084,243.66,6,0,0,19.0,0.0
183,183,08/01/2017 15:00,0.342,0.074,247.28,1.4,0,0,0.0,0.0
184,184,08/01/2017 16:00,0.272,0,245.96,1.2,0,0,0.0,0.0
185,185,08/01/2017 17:00,0.264,0,244.98,1.2,0,0,0.0,0.0
186,186,08/01/2017 18:00,0.412,0.118,244.45,1.8,0,0,0.0,0.0
187,187,08/01/2017 19:00,2.068,0.458,242.23,8.6,1,1,0.0,0.0
188,188,08/01/2017 20:00,2.848,0.06,242.87,11.8,0,0,19.0,0.0
189,189,08/01/2017 21:00,2.76,0,241.73,11.4,0,0,17.0,0.0
190,190,08/01/2017 22:00,0.81,0,243.07,3.4,0,0,0.0,0.0
191,191,08/01/2017 23:00,0.396,0.098,247.04,1.6,0,0,0.0,0.0
192,192,09/01/2017 00:00,0.484,0.264,245.34,2.2,0,2,0.0,0.0
193,193,09/01/2017 01:00,0.288,0,246.77,1.2,0,0,0.0,0.0
194,194,09/01/2017 02:00,0.268,0.046,245.76,1.2,0,0,0.0,0.0
195,195,09/01/2017 03:00,0.342,0.064,246.72,1.4,0,0,0.0,0.0
196,196,09/01/2017 04:00,0.398,0.102,248.2,1.8,0,0,0.0,0.0
197,197,09/01/2017 05:00,0.456,0.234,248.05,2,0,1,0.0,0.0
198,198,09/01/2017 06:00,0.276,0,248.35,1.2,0,0,0.0,0.0
199,199,09/01/2017 07:00,2.684,0,241.81,11,0,0,18.0,0.0
200,200,09/01/2017 08:00,1.482,0.066,242.08,6,0,0,18.0,0.0
201,201,09/01/2017 09:00,1.734,0.06,244.67,7,0,0,18.0,0.0
202,202,09/01/2017 10:00,1.566,0.19,244.52,6.4,0,0,19.0,0.0
203,203,09/01/2017 11:00,1.568,0.206,244.1,6.4,0,2,18.0,79.5
204,204,09/01/2017 12:00,1.374,0.058,241.87,5.6,0,0,18.0,0.0
205,205,09/01/2017 13:00,0.4,0.064,244.92,1.8,0,0,0.0,0.0
206,206,09/01/2017 14:00,0.332,0.052,243.71,1.4,0,0,0.0,0.0
207,207,09/01/2017 15:00,0.5,0.142,247.81,2.2,0,0,0.0,31.5
208,208,09/01/2017 16:00,0.78,0.382,247.66,3.8,0,2,0.0,0.0
209,209,09/01/2017 17:00,1.028,0.35,244.87,5.4,0,0,0.0,0.0
210,210,09/01/2017 18:00,3.074,0.066,240.95,12.6,0,0,17.0,0.0
211,211,09/01/2017 19:00,2.852,0,238.89,11.8,0,0,18.0,0.0
212,212,09/01/2017 20:00,1.456,0.108,244.32,6,1,0,0.0,0.0
213,213,09/01/2017 21:00,1.428,0.05,241.3,5.8,1,0,0.0,0.0
214,214,09/01/2017 22:00,1.71,0,241.98,7,0,1,0.0,0.0
215,215,09/01/2017 23:00,0.21,0,246.42,0.8,0,0,0.0,0.0
216,216,10/01/2017 00:00,0.214,0,247.19,0.8,0,0,0.0,0.0
217,217,10/01/2017 01:00,0.212,0,245.55,0.8,0,0,0.0,0.0
218,218,10/01/2017 02:00,0.396,0.22,249.05,1.8,0,0,0.0,0.0
219,219,10/01/2017 03:00,0.216,0,249.58,0.8,0,0,0.0,0.0
220,220,10/01/2017 04:00,0.288,0.086,247.39,1.2,0,2,0.0,0.0
221,221,10/01/2017 05:00,0.212,0,246.71,0.8,0,0,0.0,0.0
222,222,10/01/2017 06:00,1.364,0.046,244.07,5.6,0,0,16.0,0.0
223,223,10/01/2017 07:00,1.4,0.066,242.12,5.8,0,0,18.0,0.0
224,224,10/01/2017 08:00,2.362,0.15,239.73,9.8,0,0,18.0,0.0
225,225,10/01/2017 09:00,1.366,0.054,242.5,5.6,0,0,18.0,0.0
226,226,10/01/2017 10:00,1.342,0.064,239.39,5.6,0,1,17.0,0.0
227,227,10/01/2017 11:00,1.288,0.05,241.52,5.2,0,0,18.0,0.0
228,228,10/01/2017 12:00,0.6,0.256,243.48,2.8,0,0,0.0,0.0
229,229,10/01/2017 13:00,0.66,0.236,246.77,2.8,0,0,0.0,0.0
230,230,10/01/2017 14:00,1.882,0.092,243.34,7.8,0,0,18.0,0.0
231,231,10/01/2017 15:00,0.608,0.136,245.08,2.8,0,0,0.0,0.0
232,232,10/01/2017 16:00,1.656,0.21,244.89,6.8,0,2,19.0,0.0
233,233,10/01/2017 17:00,4.196,0.242,239.34,17.4,39,0,18.0,0.0
234,234,10/01/2017 18:00,3.02,0.404,239.2,12.6,0,0,17.0,0.0
235,235,10/01/2017 19:00,5.288,0.446,235.94,22.4,0,38,17.0,0.0
236,236,10/01/2017 20:00,8.758,0.062,232.2,37.6,36,71,16.0,0.0
237,237,10/01/2017 21:00,1.566,0.064,242.31,6.4,2,2,18.0,0.0
238,238,10/01/2017 22:00,0.542,0.2,246.51,2.4,0,0,0.0,0.0
239,239,10/01/2017 23:00,0.448,0.09,248.41,2,0,0,0.0,0.0
240,240,11/01/2017 00:00,0.252,0,248.72,1.2,0,0,0.0,0.0
241,241,11/01/2017 01:00,0.634,0.282,247.64,2.8,0,3,0.0,0.0
242,242,11/01/2017 02:00,0.24,0,250.07,1,0,0,0.0,0.0
243,243,11/01/2017 03:00,0.228,0.046,248.71,1,0,0,0.0,0.0
244,244,11/01/2017 04:00,0.356,0.108,251.19,1.6,0,1,0.0,0.0
245,245,11/01/2017 05:00,0.32,0.074,250.71,1.4,0,0,0.0,0.0
246,246,11/01/2017 06:00,0.328,0.094,250.46,1.4,0,2,0.0,0.0
247,247,11/01/2017 07:00,1.512,0.076,244.22,6.2,0,0,19.0,0.0
248,248,11/01/2017 08:00,0.29,0,245.47,1.4,0,0,0.0,0.0
249,249,11/01/2017 09:00,0.642,0,244.51,2.6,0,0,0.0,0.0
250,250,11/01/2017 10:00,1.484,0.076,241.74,6,0,0,18.0,0.0
251,251,11/01/2017 11:00,0.39,0.214,245.01,1.8,0,1,0.0,0.0
252,252,11/01/2017 12:00,4.956,0.21,236.51,20.8,0,74,0.0,0.0
253,253,11/01/2017 13:00,4.046,0.094,241.82,16.8,2,36,18.0,0.0
254,254,11/01/2017 14:00,2.156,0.09,243.83,9.4,2,30,0.0,0.0
255,255,11/01/2017 15:00,0.366,0,247.12,1.4,0,0,0.0,0.0
256,256,11/01/2017 16:00,0.522,0,248.56,2.2,0,0,0.0,0.0
257,257,11/01/2017 17:00,0.628,0.124,244.8,2.6,0,0,0.0,0.0
258,258,11/01/2017 18:00,1.774,0,239.08,7.4,0,0,0.0,0.0
259,259,11/01/2017 19:00,6.09,0.412,238,25.6,39,1,17.0,0.0
260,260,11/01/2017 20:00,2.87,0.26,241.75,12.6,23,0,0.0,0.0
261,261,11/01/2017 21:00,3.488,0.264,241,14.4,0,0,18.0,0.0
262,262,11/01/2017 22:00,2.674,0,239.95,11,1,0,17.0,0.0
263,263,11/01/2017 23:00,3.562,0,242.68,14.6,39,0,0.0,0.0
264,264,12/01/2017 00:00,0.516,0.336,248.63,2.4,0,1,0.0,0.0
265,265,12/01/2017 01:00,0.224,0,251.03,1,0,0,0.0,0.0
266,266,12/01/2017 02:00,0.214,0.05,246.65,0.8,0,0,0.0,0.0
267,267,12/01/2017 03:00,0.294,0.062,248.88,1.2,0,0,0.0,0.0
268,268,12/01/2017 04:00,0.304,0,251.12,1.4,0,0,0.0,0.0
269,269,12/01/2017 05:00,0.402,0.228,248.69,1.8,0,2,0.0,0.0
270,270,12/01/2017 06:00,0.22,0.048,249.03,0.8,0,0,0.0,0.0
271,271,12/01/2017 07:00,0.918,0,244.67,3.8,0,0,0.0,0.0
272,272,12/01/2017 08:00,1.56,0.074,239.84,6.4,0,0,18.0,0.0
273,273,12/01/2017 09:00,1.41,0,242.21,5.8,0,0,18.0,0.0
274,274,12/01/2017 10:00,1.366,0.062,240.3,5.6,0,0,18.0,0.0
275,275,12/01/2017 11:00,1.296,0.066,243.29,5.2,0,0,18.0,0.0
276,276,12/01/2017 12:00,1.31,0.064,244.14,5.2,0,0,18.0,0.0
277,277,12/01/2017 13:00,1.366,0,246.35,5.4,0,0,19.0,0.0
278,278,12/01/2017 14:00,1.32,0.062,245.03,5.4,0,0,18.0,0.0
279,279,12/01/2017 15:00,1.432,0.082,246.55,5.8,0,0,18.0,0.0
280,280,12/01/2017 16:00,1.49,0.178,247.39,6,0,1,19.0,0.0
281,281,12/01/2017 17:00,0.592,0.06,245.05,2.4,0,0,0.0,0.0
282,282,12/01/2017 18:00,0.624,0.06,242.96,2.6,0,0,0.0,0.0
283,283,12/01/2017 19:00,1.354,0,243.16,5.6,0,0,0.0,0.0
284,284,12/01/2017 20:00,1.942,0.224,241.77,8,0,0,0.0,0.0
285,285,12/01/2017 21:00,1.392,0.114,242.82,6,0,1,0.0,0.0
286,286,12/01/2017 22:00,2.036,0,241.42,8.4,0,0,18.0,0.0
287,287,12/01/2017 23:00,0.336,0.064,248.45,1.4,0,0,0.0,0.0
288,288,13/01/2017 00:00,0.264,0,248.12,1.2,0,0,0.0,0.0
289,289,13/01/2017 01:00,0.368,0.092,245.88,1.6,0,0,0.0,0.0
290,290,13/01/2017 02:00,0.434,0.194,245.37,2,0,0,0.0,0.0
291,291,13/01/2017 03:00,0.264,0.046,245.9,1.2,0,0,0.0,0.0
292,292,13/01/2017 04:00,1.374,0.062,245.51,5.6,0,0,19.0,0.0
293,293,13/01/2017 05:00,0.26,0.05,245.4,1.2,0,0,0.0,0.0
294,294,13/01/2017 06:00,0.456,0.198,245.4,2,0,0,0.0,0.0
295,295,13/01/2017 07:00,2.198,0,241.42,9,0,0,18.0,0.0
296,296,13/01/2017 08:00,2.884,0,241.05,12.2,1,0,18.0,0.0
297,297,13/01/2017 09:00,1.952,0.054,244.38,8,1,0,18.0,0.0
298,298,13/01/2017 10:00,1.432,0.052,245.93,5.8,0,0,19.0,0.0
299,299,13/01/2017 11:00,1.512,0.194,240.36,6.2,0,1,18.0,0.0
300,300,13/01/2017 12:00,1.554,0.076,242.88,6.4,0,0,18.0,0.0
301,301,13/01/2017 13:00,1.422,0.052,243.76,5.8,0,0,18.0,1044.1666
302,302,13/01/2017 14:00,1.39,0.05,245.33,5.6,0,0,19.0,0.0
303,303,13/01/2017 15:00,1.404,0.046,248.79,5.6,0,0,19.0,0.0
304,304,13/01/2017 16:00,1.602,0.23,248.99,6.4,0,2,19.0,0.0
305,305,13/01/2017 17:00,0.428,0.2,244.6,2,0,0,0.0,0.0
306,306,13/01/2017 18:00,0.896,0,244.16,3.6,0,0,0.0,0.0
307,307,13/01/2017 19:00,1.892,0.086,242.62,7.8,0,0,0.0,0.0
308,308,13/01/2017 20:00,1.596,0.05,243.59,6.6,0,0,0.0,0.0
309,309,13/01/2017 21:00,2.7,0,242.23,11,0,1,18.0,0.0
310,310,13/01/2017 22:00,2.702,0,241.09,11.2,0,0,18.0,0.0
311,311,13/01/2017 23:00,1.82,0.224,246.14,7.4,0,0,19.0,0.0
312,312,14/01/2017 00:00,1.37,0.046,247.31,5.4,0,0,19.0,0.0
313,313,14/01/2017 01:00,0.236,0,245.98,1,0,0,0.0,0.0
314,314,14/01/2017 02:00,0.382,0.2,246.12,1.6,0,2,0.0,0.0
315,315,14/01/2017 03:00,0.276,0,248.86,1.2,0,0,0.0,0.0
316,316,14/01/2017 04:00,0.344,0.114,248.91,1.4,0,0,0.0,0.0
317,317,14/01/2017 05:00,0.236,0,248.64,1,0,0,0.0,0.0
318,318,14/01/2017 06:00,0.398,0.202,246.93,1.8,0,2,0.0,0.0
319,319,14/01/2017 07:00,1.782,0.088,244.55,7.2,0,0,18.0,0.0
320,320,14/01/2017 08:00,1.716,0,242.47,7,2,0,18.0,0.0
321,321,14/01/2017 09:00,1.858,0.084,243.75,7.6,1,0,18.0,0.0
322,322,14/01/2017 10:00,1.844,0.196,242.37,7.6,0,0,18.0,0.0
323,323,14/01/2017 11:00,1.744,0.074,241.51,7.2,0,2,18.0,537.8333
324,324,14/01/2017 12:00,1.714,0.048,240.94,7,0,0,18.0,0.0
325,325,14/01/2017 13:00,1.828,0.062,243.61,7.4,0,0,18.0,0.0
326,326,14/01/2017 14:00,0.208,0,244.3,0.8,0,0,0.0,0.0
327,327,14/01/2017 15:00,0.338,0.136,251.57,1.4,0,0,0.0,0.0
